lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24129,48.99215,23,P,2,2,Na Hlavnej,1,531,Okružná,800,644,-50,386,1612120749423,31,20,19,9
21.24109,48.99222,29,P,9,531,Okružná,1,114,Grešova,500,122,15,392,1612107019297,31,16,30,19
21.24108,48.99209,29,P,9,531,Okružná,1,114,Grešova,500,140,-75,392,1612114311918,31,18,31,51
21.24121,48.99198,29,P,9,531,Okružná,1,114,Grešova,500,163,50,400,1612117793216,31,19,29,53
21.24129,48.99195,29,P,9,531,Okružná,1,114,Grešova,500,168,58,397,1612186182421,1,14,29,42
21.31937,48.9778,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-27,360,1611770837306,27,19,7,17
21.31923,48.97783,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-68,380,1611778085907,27,21,8,5
21.31886,48.97782,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-49,392,1611784494216,27,22,54,54
21.31889,48.97783,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2295,4,360,1611770312027,27,18,58,32
21.31901,48.97778,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-157,352,1611857375329,28,19,9,35
21.31926,48.97779,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-147,352,1611857360344,28,19,9,20
21.24119,48.99199,29,P,9,531,Okružná,1,114,Grešova,500,159,117,400,1612009717628,30,13,28,37
21.24125,48.99217,23,P,2,2,Na Hlavnej,1,531,Okružná,800,583,-33,402,1612012718852,30,14,18,38
21.24105,48.99222,29,P,9,531,Okružná,1,114,Grešova,500,127,17,380,1612013424154,30,14,30,24
21.2411,48.99217,29,P,9,531,Okružná,1,114,Grešova,500,140,-130,380,1612020762540,30,16,32,42
21.24149,48.99201,29,P,9,531,Okružná,1,114,Grešova,500,190,58,400,1612016980864,30,15,29,40
21.24108,48.99221,29,P,9,531,Okružná,1,114,Grešova,500,131,21,400,1612024199061,30,17,29,59
21.24142,48.99208,23,P,2,2,Na Hlavnej,1,531,Okružná,800,583,-96,402,1612027170415,30,18,19,30
21.24109,48.99218,29,P,9,531,Okružná,1,114,Grešova,500,140,-112,380,1612027935851,30,18,32,15
21.24108,48.99208,29,P,8,532,Floriánova,2,531,Okružná,540,540,-4,400,1612031387558,30,19,29,47
21.24108,48.99208,29,P,8,532,Floriánova,2,531,Okružná,540,540,-4,400,1612031402558,30,19,30,2
21.24108,48.99208,29,P,8,532,Floriánova,2,531,Okružná,540,540,-4,400,1612031417546,30,19,30,17
21.24112,48.99205,29,P,8,532,Floriánova,2,531,Okružná,540,540,-12,392,1612071740948,31,6,42,20
21.24127,48.99194,29,P,9,531,Okružná,1,114,Grešova,500,145,17,392,1612074622267,31,7,30,22
21.24116,48.99227,23,P,2,2,Na Hlavnej,1,531,Okružná,800,672,29,386,1612077473620,31,8,17,53
21.24108,48.99224,29,P,9,531,Okružná,1,114,Grešova,500,127,-55,392,1612078299022,31,8,31,39
21.241,48.99234,29,P,9,531,Okružná,1,114,Grešova,500,127,-19,400,1612081855708,31,9,30,55
21.24133,48.99195,29,P,9,531,Okružná,1,114,Grešova,500,172,-24,400,1612081870714,31,9,31,10
21.24143,48.99209,23,P,2,2,Na Hlavnej,1,531,Okružná,800,630,53,386,1612084631985,31,10,17,11
21.2411,48.99207,29,P,8,532,Floriánova,2,531,Okružná,540,540,-13,392,1612085412346,31,10,30,12
21.24149,48.99199,29,P,9,531,Okružná,1,114,Grešova,500,168,14,392,1612085427356,31,10,30,27
21.24114,48.99209,29,P,8,532,Floriánova,2,531,Okružná,540,540,-64,400,1612089059112,31,11,30,59
21.24134,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,150,-39,400,1612089074118,31,11,31,14
21.24099,48.99236,29,P,8,532,Floriánova,2,531,Okružná,540,540,-82,397,1611945068662,29,19,31,8
21.24099,48.99236,29,P,8,532,Floriánova,2,531,Okružná,540,540,-82,397,1611945083687,29,19,31,23
21.24126,48.9921,23,P,2,2,Na Hlavnej,1,531,Okružná,800,611,-155,403,1611946539306,29,19,55,39
