lon,lat,Nazov,DELAY,Current_Stop,From,Destination,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.89858,48.75074,REX 1908 ,0,Michalovce,Humenné,Košice,1611831889725,28,12,4,49
21.82483,48.86766,Os 9116 ,0,Strážske,Humenné,Prešov,1611831889725,28,12,4,49
21.89858,48.75074,REX 1908 ,0,Michalovce,Humenné,Košice,1611831904812,28,12,5,4
20.471821,49.184593,Os 8316 ,60,Spišská Belá zastávka,Stará Ľubovňa,Poprad-Tatry,1611831904812,28,12,5,4
21.82483,48.86766,Os 9116 ,0,Strážske,Humenné,Prešov,1611831904812,28,12,5,4
21.89858,48.75074,REX 1908 ,0,Michalovce,Humenné,Košice,1611831919842,28,12,5,19
21.82483,48.86766,Os 9116 ,0,Strážske,Humenné,Prešov,1611831919842,28,12,5,19
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832069838,28,12,7,49
21.01324,48.89469,Os 7814 ,0,Margecany,Košice,Poprad-Tatry,1611832099850,28,12,8,19
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832099850,28,12,8,19
21.245198,48.911472,Os 8515 ,60,Drienovská Nová Ves,Lipany,Košice,1611832129876,28,12,8,49
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832129876,28,12,8,49
21.01324,48.89469,Os 7814 ,0,Margecany,Košice,Poprad-Tatry,1611832129876,28,12,8,49
21.245198,48.911472,Os 8515 ,60,Drienovská Nová Ves,Lipany,Košice,1611832144874,28,12,9,4
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832144874,28,12,9,4
21.01324,48.89469,Os 7814 ,0,Margecany,Košice,Poprad-Tatry,1611832144874,28,12,9,4
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832159882,28,12,9,19
21.01324,48.89469,Os 7814 ,0,Margecany,Košice,Poprad-Tatry,1611832159882,28,12,9,19
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832249910,28,12,10,49
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832249910,28,12,10,49
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832264912,28,12,11,4
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832264912,28,12,11,4
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832339930,28,12,12,19
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832339930,28,12,12,19
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832369939,28,12,12,49
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832369939,28,12,12,49
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,1611832369939,28,12,12,49
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832384940,28,12,13,4
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,1611832384940,28,12,13,4
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832384940,28,12,13,4
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832459973,28,12,14,19
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832459973,28,12,14,19
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,1611832459973,28,12,14,19
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,1611832474977,28,12,14,34
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832474977,28,12,14,34
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832474977,28,12,14,34
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832550008,28,12,15,50
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,1611832550008,28,12,15,50
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832550008,28,12,15,50
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832565025,28,12,16,5
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,1611832565025,28,12,16,5
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,1611832565025,28,12,16,5
21.22393,48.85288,Os 8514 ,60,Kysak,Košice,Lipany,1611832580115,28,12,16,20
