lon,lat,ROUTE_NUMBER,Trip,TripTime,vehicleID,lastStopOrder,lineID,lineType,DELAY,Current_Stop,Current_Stop_ID,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds,destination,Dir
21.30905,49.18709,701411,23,935,1007802506,17,1007040359,2,-88,"Janovce, rázc. Tročany",302,1614092292448,23,15,58,12,"Koprivnica, Jednota",1
20.92443,49.14571,708404,125,940,1007804349,16,1007040432,2,38,"Ďačov, konečná",284,1614092292448,23,15,58,12,"Lipany, AS",1
21.25834,49.29599,701420,12,930,1007802788,49,1007040365,2,-56,"Bardejov,,STS",2033,1614092442433,23,16,0,42,"Bardejov, AS",0
21.05608,49.05743,707424,53,910,1007803649,25,1007040406,2,21,"Jarovnice, rázc. Daletice",533,1614092442433,23,16,0,42,"Hermanovce, OcÚ",1
21.21387,49.23052,701414,100,945,1007802631,29,1007040361,2,117,"Šiba, otoč.",817,1614092457429,23,16,0,57,"Bardejov, AS",0
21.27105,48.87244,707408,46,930,1007803224,17,1007040399,2,-101,"Drienov, nám ",1133,1614092457429,23,16,0,57,"Prešov, AS",0
21.26468,48.97746,707401,24,935,1007803071,22,1007040395,2,-26,"Prešov, Solivar, súkromné gymnázium ",1036,1614092472429,23,16,1,12,"Prešov, AS",0
21.25074,48.98463,707419,81,960,1007803537,1,1007040404,2,-52,"Prešov,,AS ",2361,1614092472429,23,16,1,12,"Víťaz, kostol",1
21.36307,49.04506,707442,82,955,1007803899,22,1007040414,2,7,"Lada, rázc. Šariš. Poruba",854,1614092472429,23,16,1,12,"Prešov, AS",0
21.44065,49.02597,707448,1,910,1007804069,27,1007040419,2,180,"Pavlovce,Jednota",2422,1614092472429,23,16,1,12,"Pavlovce, otoč.",1
21.08997,49.10367,708452,48,960,1007804467,14,1007040435,2,-98,"Sabinov,,AS",2316,1614092472429,23,16,1,12,"Hanigovce, kostol",0
21.27105,48.87244,707408,46,930,1007803224,17,1007040399,2,-41,"Drienov, nám ",1133,1614092472429,23,16,1,12,"Prešov, AS",0
20.94203,48.99605,707421,25,910,1007803576,41,1007040405,2,209,"Široké, č.d. 362",616,1614092472429,23,16,1,12,"Víťaz, remeselný dom",1
21.21387,49.23052,701414,100,945,1007802631,29,1007040361,2,117,"Šiba, otoč.",817,1614092472429,23,16,1,12,"Bardejov, AS",0
21.27105,48.87244,707408,46,930,1007803224,17,1007040399,2,-41,"Drienov, nám ",1133,1614092502431,23,16,1,42,"Prešov, AS",0
21.25074,48.98463,707419,81,960,1007803537,1,1007040404,2,-52,"Prešov,,AS ",2361,1614092502431,23,16,1,42,"Víťaz, kostol",1
20.99369,49.14349,708403,8,905,1007804189,24,1007040431,2,3,Rožkovany žel. zast. nástupište 2,259,1614092502431,23,16,1,42,"Lipany, AS",0
21.27105,48.87244,707408,46,930,1007803224,17,1007040399,2,-41,"Drienov, nám ",1133,1614092517429,23,16,1,57,"Prešov, AS",0
21.14235,48.96115,707417,58,956,1007803390,21,1007040402,2,-60,Rokycany,651,1614092517429,23,16,1,57,"Prešov, AS",0
21.25074,48.98463,707419,81,960,1007803537,1,1007040404,2,-52,"Prešov,,AS ",2361,1614092517429,23,16,1,57,"Víťaz, kostol",1
20.99369,49.14349,708403,8,905,1007804189,24,1007040431,2,3,Rožkovany žel. zast. nástupište 2,259,1614092517429,23,16,1,57,"Lipany, AS",0
21.27026,48.87619,707408,46,930,1007803224,18,1007040399,2,-1,"Drienov, hor. koniec ",1135,1614092547524,23,16,2,27,"Prešov, AS",0
21.43972,49.02378,707448,12,965,1007804065,13,1007040419,2,-284,"Pavlovce,otoč.",2419,1614092547524,23,16,2,27,"Prešov, AS",0
21.08984,49.10369,708468,7,965,1007804682,1,1007040441,2,-353,"Sabinov,,AS",2316,1614092547524,23,16,2,27,"Olejníkov, Majdan, rázc.",1
21.08984,49.10369,708468,7,965,1007804682,1,1007040441,2,-353,"Sabinov,,AS",2316,1614092502431,23,16,1,42,"Olejníkov, Majdan, rázc.",1
