lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24486,48.99225,8,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,343,-53,722,1614947491642,5,13,31,31
21.2443,48.993,8,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,431,-61,722,1614947521653,5,13,32,1
21.23756,48.98765,34,T,13,25,Škultétyho,0,199,Prešovská univerzita,766,438,-67,345,1614947611670,5,13,33,31
21.24353,48.9872,2,P,9,4,Čierny most,0,25,Škultétyho,650,455,-26,739,1614947761706,5,13,36,1
21.24288,48.98613,30,P,5,23,Priemyselné centrum,0,24,Štúrova,462,462,58,364,1614947776708,5,13,36,16
21.24479,48.99228,26,P,1,3,Veľká pošta,1,4,Čierny most,220,220,69,362,1614947776708,5,13,36,16
21.24279,48.98657,30,P,5,23,Priemyselné centrum,0,24,Štúrova,462,462,45,364,1614947791714,5,13,36,31
21.24406,48.99329,45,T,10,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,290,-27,355,1614947806718,5,13,36,46
21.24287,48.98603,2,T,3,23,Priemyselné centrum,0,24,Štúrova,462,462,0,735,1614947956758,5,13,39,16
21.2385,48.99159,12,P,17,184,Gym.sv.Moniky,1,185,Kúpeľná,469,459,-55,402,1614948061793,5,13,41,1
21.23754,48.98771,34,P,10,199,Prešovská univerzita,1,24,Štúrova,952,280,-49,382,1614948061793,5,13,41,1
21.23976,48.99049,12,P,18,185,Kúpeľná,1,186,Pavlovičovo nám.,305,183,-62,402,1614948106796,5,13,41,46
21.24354,48.99394,4,T,10,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,75,-33,746,1614948121792,5,13,42,1
21.24292,48.98975,12,P,19,186,Pavlovičovo nám.,0,205,Divadlo Jonáša Záborského,739,147,-61,402,1614948166803,5,13,42,46
21.24449,48.99275,18,T,1,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,377,-23,403,1614948196808,5,13,43,16
21.2429,48.98539,34,P,10,199,Prešovská univerzita,1,24,Štúrova,952,952,-51,382,1614948196808,5,13,43,16
21.2435,48.99391,12,P,19,186,Pavlovičovo nám.,0,205,Divadlo Jonáša Záborského,739,739,-84,402,1614948331852,5,13,45,31
21.23706,48.9883,38,T,9,25,Škultétyho,0,199,Prešovská univerzita,766,529,-82,723,1614948346852,5,13,45,46
21.23643,48.98899,38,T,9,25,Škultétyho,0,199,Prešovská univerzita,766,619,-77,723,1614948361852,5,13,46,1
21.23537,48.99019,38,P,9,198,Duchnovičovo nám.,1,199,Prešovská univerzita,441,405,104,745,1614948376859,5,13,46,16
21.2354,48.99032,38,T,9,25,Škultétyho,0,199,Prešovská univerzita,766,766,-67,723,1614948376859,5,13,46,16
21.23584,48.98964,38,P,10,199,Prešovská univerzita,1,25,Škultétyho,706,25,93,745,1614948406859,5,13,46,46
21.23529,48.99042,38,T,10,199,Prešovská univerzita,0,198,Duchnovičovo nám.,439,17,-102,723,1614948421853,5,13,47,1
21.24375,48.99356,4,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,327,-77,744,1614948451883,5,13,47,31
21.24354,48.99379,5,P,4,2,Na Hlavnej,1,3,Veľká pošta,555,277,4,739,1614948556898,5,13,49,16
21.24445,48.99267,11,P,7,2,Na Hlavnej,4,3,Veľká pošta,555,444,-105,391,1614948571913,5,13,49,31
21.24344,48.98993,12,T,13,3,Veľká pošta,0,186,Pavlovičovo nám.,520,345,-39,385,1614948676934,5,13,51,16
21.24281,48.98638,30,P,5,23,Priemyselné centrum,0,24,Štúrova,462,462,62,364,1614948676934,5,13,51,16
21.24279,48.98665,30,P,5,23,Priemyselné centrum,0,24,Štúrova,462,462,49,364,1614948691942,5,13,51,31
21.24279,48.98665,30,P,5,23,Priemyselné centrum,0,24,Štúrova,462,462,6,364,1614948736965,5,13,52,16
21.23775,48.99249,12,T,15,185,Kúpeľná,0,184,Gym.sv.Moniky,462,101,-47,385,1614948796981,5,13,53,16
21.23656,48.99375,12,T,15,185,Kúpeľná,0,184,Gym.sv.Moniky,462,267,-48,385,1614948827005,5,13,53,47
21.24474,48.99232,12,T,12,2,Na Hlavnej,1,3,Veľká pošta,555,499,-24,385,1614941354379,5,11,49,14
21.24107,48.9863,38,P,10,199,Prešovská univerzita,1,25,Škultétyho,706,680,6,723,1614941384387,5,11,49,44
21.24281,48.98658,7,T,3,23,Priemyselné centrum,0,24,Štúrova,462,462,-41,736,1614941399394,5,11,49,59
21.2431,48.99437,1,P,9,2,Na Hlavnej,1,3,Veľká pošta,555,206,-67,738,1614941399394,5,11,49,59
21.24499,48.98767,5,P,6,4,Čierny most,1,24,Štúrova,720,340,83,739,1614941444398,5,11,50,44
21.24325,48.98701,38,P,11,25,Škultétyho,1,35,Železničná stanica,1110,130,-9,723,1614941444398,5,11,50,44
21.243,48.98983,12,T,13,3,Veľká pošta,0,186,Pavlovičovo nám.,520,349,-28,385,1614941459410,5,11,50,59
21.24453,48.99273,8,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,381,-59,729,1614941504424,5,11,51,44
21.23853,48.99155,12,T,14,186,Pavlovičovo nám.,0,185,Kúpeľná,300,258,-36,385,1614941549440,5,11,52,29
21.24397,48.99342,8,T,10,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,17,-82,729,1614941549440,5,11,52,29
21.24477,48.99239,7,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,339,-36,736,1614941594461,5,11,53,14
21.23711,48.99319,12,T,15,185,Kúpeľná,0,184,Gym.sv.Moniky,462,184,-56,385,1614941609470,5,11,53,29
21.24408,48.99328,7,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,448,-24,736,1614941609470,5,11,53,29
21.24411,48.99305,8,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,373,60,728,1614941729520,5,11,55,29
21.24109,48.98629,5D,T,3,199,Prešovská univerzita,1,25,Škultétyho,706,667,27,737,1614941729520,5,11,55,29
21.24462,48.99261,5D,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,360,10,737,1614941969633,5,11,59,29
21.24313,48.99439,39,P,9,2,Na Hlavnej,1,3,Veľká pošta,555,211,-31,356,1614942029655,5,12,0,29
21.24464,48.99258,4,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,360,-102,722,1614942149713,5,12,2,29
21.23958,48.98586,2,P,11,25,Škultétyho,0,199,Prešovská univerzita,766,181,54,733,1614942344757,5,12,5,44
21.23778,48.98748,2,P,11,25,Škultétyho,0,199,Prešovská univerzita,766,424,62,733,1614942374762,5,12,6,14
21.24461,48.99257,28,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,372,-90,376,1614942374762,5,12,6,14
21.23711,48.9883,38,T,9,25,Škultétyho,0,199,Prešovská univerzita,766,529,-136,726,1614942404787,5,12,6,44
21.24402,48.99334,28,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,-87,376,1614942404787,5,12,6,44
21.23664,48.98884,38,T,9,25,Škultétyho,0,199,Prešovská univerzita,766,591,-135,726,1614942419789,5,12,6,59
21.24402,48.99335,28,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,-108,376,1614942419789,5,12,6,59
21.24458,48.99264,14,T,1,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,121,-37,380,1614942434792,5,12,7,14
21.24434,48.99293,14,T,1,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,168,-56,380,1614942464801,5,12,7,44
21.24469,48.99255,8,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,331,61,743,1614942569832,5,12,9,29
21.23794,48.98718,38,P,10,199,Prešovská univerzita,1,25,Škultétyho,706,353,-18,725,1614942569832,5,12,9,29
21.24481,48.99223,10,P,5,120,Moyzesova,1,3,Veľká pošta,720,614,-190,396,1614942584848,5,12,9,44
21.24457,48.99271,8,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,347,51,743,1614942584848,5,12,9,44
21.24283,48.98658,2,T,4,24,Štúrova,0,4,Čierny most,650,59,-14,735,1614942584848,5,12,9,44
21.24408,48.99309,1,P,9,2,Na Hlavnej,1,3,Veľká pošta,555,373,-7,732,1614942584848,5,12,9,44
21.23942,48.9858,38,P,10,199,Prešovská univerzita,1,25,Škultétyho,706,539,-18,725,1614942599848,5,12,9,59
21.24333,48.98704,2,T,4,24,Štúrova,0,4,Čierny most,650,135,-43,735,1614942629848,5,12,10,29
21.24293,48.98689,38,P,11,25,Škultétyho,1,35,Železničná stanica,1110,111,-20,725,1614942659864,5,12,10,59
21.24468,48.9875,38,P,11,25,Škultétyho,1,35,Železničná stanica,1110,267,-12,725,1614942674880,5,12,11,14
21.24444,48.99281,2,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,381,-79,735,1614942854953,5,12,14,14
21.24447,48.99301,15,T,4,120,Moyzesova,0,205,Divadlo Jonáša Záborského,600,490,33,392,1614942959979,5,12,15,59
21.24397,48.99322,8,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,353,5,724,1614942974984,5,12,16,14
21.24397,48.99339,15,T,4,120,Moyzesova,0,205,Divadlo Jonáša Záborského,600,600,47,392,1614942989986,5,12,16,29
21.24403,48.99315,8,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,363,-8,724,1614942989986,5,12,16,29
21.24437,48.99275,8,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,423,-10,724,1614943004985,5,12,16,44
21.23794,48.98522,27,T,5,27,Pod Kamennou baňou,0,26,Mestská hala,510,479,-21,387,1614943110028,5,12,18,30
21.24429,48.99284,5,P,4,2,Na Hlavnej,1,3,Veľká pošta,555,408,32,733,1614943140045,5,12,19,0
21.24464,48.99254,39,T,7,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,360,-74,356,1614943140045,5,12,19,0
21.24039,48.99308,29,P,9,531,Okružná,1,114,Grešova,500,18,-126,393,1614943170062,5,12,19,30
21.24387,48.99273,29,P,9,531,Okružná,1,114,Grešova,500,372,-126,393,1614943245098,5,12,20,45
21.23971,48.99374,23,P,2,2,Na Hlavnej,1,531,Okružná,800,800,-3,386,1614943275105,5,12,21,15
21.244,48.99336,41,T,1,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,-40,389,1614943320121,5,12,22,0
21.24402,48.9933,27,T,8,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,79,387,1614943320121,5,12,22,0
21.24426,48.99312,#,R,1,113,Kpt.Nálepku,0,205,Divadlo Jonáša Záborského,270,223,-12,391,1614943320121,5,12,22,0
21.24178,48.98664,38,T,8,35,Železničná stanica,0,25,Škultétyho,990,990,-52,723,1614943440167,5,12,24,0
21.23702,48.98834,38,T,9,25,Škultétyho,0,199,Prešovská univerzita,766,536,-45,723,1614943515190,5,12,25,15
21.23613,48.98939,38,T,9,25,Škultétyho,0,199,Prešovská univerzita,766,675,-39,723,1614943530196,5,12,25,30
21.24296,48.99462,32,P,5,2,Na Hlavnej,1,3,Veľká pošta,555,171,68,375,1614943545202,5,12,25,45
21.23664,48.98881,5,T,3,199,Prešovská univerzita,1,25,Škultétyho,706,147,-66,735,1614943545202,5,12,25,45
